"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog"
2025020254,"EDM","CBJ","away",58.75,28.5,13.375,16.875,56.5,26.5,13.25,16.75,55.3333333333333,26.8888888888889,13,15.4444444444444,61.75,33.125,14.125,14.5,59.5,32,14,13.5,64.5,32.1666666666667,16.5,15.8333333333333,0,0,24
2025020255,"VGK","FLA","away",59.125,28.125,12.875,18.125,65.75,32,14.25,19.5,58.8333333333333,26.5,14.8333333333333,17.5,52,23.75,12.875,15.375,51,26.25,10.5,14.25,47.2857142857143,20.7142857142857,12.8571428571429,13.7142857142857,0,0,32
2025020256,"TOR","BOS","home",51.5,26.875,12.75,11.875,44.5,23,12.25,9.25,53.25,27.1666666666667,12.75,13.3333333333333,64.25,31.125,16,17.125,62,29.5,15.75,16.75,69.7142857142857,32.5714285714286,17.4285714285714,19.7142857142857,0,0,33
2025020257,"LAK","MTL","home",63.375,29.75,15.75,17.875,65.5,30.75,14.5,20.25,67.8571428571429,31.4285714285714,15.8571428571429,20.5714285714286,62.125,29.25,14,18.875,61.25,29,13.75,18.5,58.25,28.25,12.625,17.375,0,0,26
2025020258,"DAL","OTT","home",48.625,23.75,11.625,13.25,50,25,11.25,13.75,52.5555555555556,26.7777777777778,11.4444444444444,14.3333333333333,56.625,25.25,13.125,18.25,56,26.25,13.75,16,52.5,24,12,16.5,0,0,33
2025020259,"WSH","CAR","home",59.5,27.125,14.75,17.625,64,31.75,15,17.25,69,30.25,16.75,22,51.125,26.375,11.5,13.25,47.25,23,10.5,13.75,53.5555555555556,27.5555555555556,12,14,0,0,28
2025020260,"CGY","STL","home",59.5,29.875,12,17.625,56.25,29,11.75,15.5,62.8571428571429,31,14.2857142857143,17.5714285714286,58.125,27.125,12.625,18.375,64.25,29,12.75,22.5,60.4285714285714,29.5714285714286,13.1428571428571,17.7142857142857,0,0,40
2025020261,"SJS","MIN","home",53.25,26,9.25,18,51.5,23,9.75,18.75,53.1,25.4,9.8,17.9,61.125,29,15.875,16.25,68.75,31,18,19.75,62.75,28.75,15.75,18.25,0,0,18
2025020262,"ANA","COL","home",61.125,28.125,15.25,17.75,61.75,26.75,18,17,61.8333333333333,26.6666666666667,16.5,18.6666666666667,57.125,25,15.5,16.625,56.75,26,14.5,16.25,57.5,25.5,15.3,16.7,0,0,36
2025020263,"WPG","VAN","home",55.25,28.625,14.5,12.125,56,28.5,14.5,13,56.875,29.5,14.25,13.125,63.625,30.5,16.25,16.875,65.25,30.25,15.5,19.5,66.7777777777778,32.7777777777778,15.7777777777778,18.2222222222222,0,0,30
2025020264,"CBJ","SEA","home",67.875,32.25,16.25,19.375,68,29.75,18.25,20,62.1666666666667,30.1666666666667,15,17,56.625,26.25,14.625,15.75,51.5,24.25,12.25,15,58,26.75,14,17.25,1,0,34
2025020256,"BOS","TOR","away",55.375,25.5,15.25,14.625,58.5,28.25,15.75,14.5,57.1428571428571,25.7142857142857,14.1428571428571,17.2857142857143,65.375,32.375,14,19,70.25,36.75,15.5,18,62,30.8333333333333,13.3333333333333,17.8333333333333,0,0,32
2025020257,"MTL","LAK","away",49.625,23.625,12.625,13.375,46.75,22.25,12,12.5,52.375,24.375,12.625,15.375,54.375,28.125,12.125,14.125,51.25,25.5,12.75,13,54,26.5714285714286,12.4285714285714,15,0,0,22
2025020258,"OTT","DAL","away",52.875,24.625,14.875,13.375,48,19.5,14,14.5,56.625,26.25,13.625,16.75,59.125,27.25,15.5,16.375,54,26.25,12.5,15.25,61,28.5555555555556,14.3333333333333,18.1111111111111,0,0,29
2025020259,"CAR","WSH","away",72.25,32,19.5,20.75,76,35.25,20.5,20.25,71.1111111111111,34.3333333333333,15.4444444444444,21.3333333333333,55.375,26.625,14.875,13.875,54.75,25.5,14.75,14.5,47.875,22.375,13.75,11.75,0,0,31
2025020260,"STL","CGY","away",54.375,26.25,13.25,14.875,44.5,20.5,11.5,12.5,58.5714285714286,28.7142857142857,12.7142857142857,17.1428571428571,59.875,29.875,14.125,15.875,58,26.75,13.75,17.5,60,30.5714285714286,11.7142857142857,17.7142857142857,0,0,31
2025020261,"MIN","SJS","away",59.75,27.125,17.125,15.5,52,23.5,15,13.5,57.375,25.625,14.125,17.625,65.75,31.75,15.5,18.5,69,34.25,16.25,18.5,66.3,33.6,15.2,17.5,0,0,29
2025020262,"COL","ANA","away",66.375,32.875,14.75,18.75,64.5,34.5,13.25,16.75,65.9,31.7,15.1,19.1,63,30.25,17.5,15.25,55.5,27.5,14.5,13.5,58.8333333333333,27.5,16.3333333333333,15,0,0,36
2025020263,"VAN","WPG","away",59.375,29.25,16.875,13.25,63.25,34.5,17.5,11.25,54.5555555555556,25,15.2222222222222,14.3333333333333,63,28.625,16.375,18,61.5,26.25,16,19.25,63,30.875,15.25,16.875,0,0,33
2025020264,"SEA","CBJ","away",54.125,25,12.75,16.375,60,28.75,13,18.25,56.625,26.75,12,17.875,61.5,32.375,13.875,15.25,55.25,28.25,13,14,64.5,32.1666666666667,16.5,15.8333333333333,0,1,23
2025020265,"NYR","TBL","home",59.625,27.625,16.75,15.25,54.75,25.75,14.75,14.25,61.75,27.375,15.375,19,53.375,27.875,10,15.5,58.5,30.75,12.5,15.25,59,29.375,13.5,16.125,0,0,21
2025020266,"EDM","PHI","home",56.25,27.375,12.75,16.125,53.25,25,12.75,15.5,59.125,29.875,13,16.25,55.5,24.75,15,15.75,50.25,20,16.5,13.75,64.4,30.2,18.4,15.8,0,0,31
2025020267,"BUF","UTA","home",56.125,28.25,13.5,14.375,49.75,23,12.75,14,58.3,29.2,14,15.1,51.5,25,12.5,14,43.25,21.25,11.75,10.25,50.3636363636364,23.4545454545455,12.9090909090909,14,0,0,19
2025020268,"NJD","CHI","home",61.125,28.375,13.5,19.25,63.75,30,14.75,19,63,28.875,15,19.125,60.5,32,15.25,13.25,64.75,37,15.5,12.25,63,33.7,15.7,13.6,0,0,37
2025020265,"TBL","NYR","away",60.125,27.875,16.625,15.625,56,24.25,15.5,16.25,57.25,25.875,16.5,14.875,58.75,27.875,14.75,16.125,60.75,30.25,14.25,16.25,57.125,27.25,13.75,16.125,0,0,36
2025020266,"PHI","EDM","away",56.5,27.375,13.125,16,57,27,12.25,17.75,52,26.8,11.4,13.8,59,27.625,15,16.375,60.75,26.75,15.25,18.75,59.25,26.625,15.125,17.5,0,0,21
2025020267,"UTA","BUF","away",58.75,30,14,14.75,59.75,29.25,14.75,15.75,56.2727272727273,28.7272727272727,13.9090909090909,13.6363636363636,64.375,30.125,15.5,18.75,65,30.75,16.25,18,68.5,33.1,16.1,19.3,0,0,37
