"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog","sog_trend","sog_ag_trend","home","off_def_gap","pace","shot_perc","shot_perc_ag"
2025020200,"EDM","STL","home",57.125,28,13.125,16,59.25,29.75,12.75,16.75,61.6666666666667,31.8333333333333,13.1666666666667,16.6666666666667,48.75,25.125,11,12.625,52,25.25,12.5,14.25,58.6,29.4,13.2,16,0,0,26,1.75,0.125,1,2.875,53.125,0.490153172866521,0.515384615384615
2025020201,"VAN","NSH","home",55.875,24.625,16.375,14.875,55.5,24,16.25,15.25,57.6,27.2,16.6,13.8,58,29.875,15.25,12.875,54,28.25,14.75,11,53.6,26.4,14.8,12.4,0,0,36,-0.625,-1.625,1,-5.25,54.5,0.440715883668904,0.515086206896552
2025020202,"CHI","SEA","home",53.875,27.375,14.375,12.125,53,25.5,13.5,14,48,24.6666666666667,12.8333333333333,10.5,62.375,28.625,16,17.75,61.75,28.25,17,16.5,61.3333333333333,28.3333333333333,14.6666666666667,18.3333333333333,0,0,30,-1.875,-0.375,1,-1.25,56,0.508120649651972,0.458917835671343
2025020199,"TOR","PIT","away",58.625,29.5,12.875,16.25,58.5,30.75,13.25,14.5,59.25,30,12,17.25,68.5,32.75,17.5,18.25,63.75,31.5,15.25,17,68.6,32.6,16,20,0,0,20,1.25,-1.25,0,-3.25,62.25,0.50319829424307,0.478102189781022
2025020200,"STL","EDM","away",56.875,27.125,13.75,16,64.25,32,15,17.25,64.2,32,13.6,18.6,56.375,26.25,14.125,16,57.25,28.5,14.75,14,57.1666666666667,26.1666666666667,14.8333333333333,16.1666666666667,0,0,22,4.875,2.25,0,0.875,53.375,0.476923076923077,0.465631929046563
2025020201,"NSH","VAN","away",57.375,27.625,11.875,17.875,55.75,25.5,11.5,18.75,66,27.8,16,22.2,64.75,29.875,16.75,18.125,62,30.75,17,14.25,59,26.4,16.4,16.2,0,0,29,-2.125,0.875,0,-2.25,57.5,0.481481481481481,0.461389961389961
2025020202,"SEA","CHI","away",51.375,23.5,12.5,15.375,48.25,21.25,12.5,14.5,54.6666666666667,25.5,12,17.1666666666667,61.25,29.75,17.5,14,56.25,27,15,14.25,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,24,-2.25,-2.75,0,-6.25,53.25,0.457420924574209,0.485714285714286
2025020203,"UTA","BUF","home",55.5,30.25,12.75,12.5,57.75,30.75,13.25,13.75,57.6,30.6,13.2,13.8,67,31.125,17.125,18.75,64.5,30,16.75,17.75,58.75,27,16.25,15.5,0,0,35,0.5,-1.125,1,-0.875,61.375,0.545045045045045,0.46455223880597
2025020204,"PHI","MTL","home",53,25,13,15,57.5,25.75,15,16.75,52.2222222222222,24,13.5555555555556,14.6666666666667,60.5,26,15.75,18.75,58,24.5,15.5,18,58,28.2857142857143,12.8571428571429,16.8571428571429,0,0,42,0.75,-1.5,1,-1,51,0.471698113207547,0.429752066115702
2025020205,"BOS","NYI","home",57.25,26.5,13.625,17.125,54.5,23.5,15,16,59,28.3333333333333,15.6666666666667,15,58.875,29,13.25,16.625,54,25.25,13.75,15,56.1666666666667,28,12.8333333333333,15.3333333333333,0,0,27,-3,-3.75,1,-2.5,55.5,0.462882096069869,0.492569002123142
2025020206,"CAR","NYR","home",66.125,30.625,15.25,20.25,68.5,28.75,18.5,21.25,72,32.5,21,18.5,55.625,25.75,14.625,15.25,56.75,25.5,15.25,16,55,25.75,14.75,14.5,0,0,32,-1.875,-0.25,1,4.875,56.375,0.463137996219282,0.462921348314607
2025020207,"EDM","DAL","home",59.125,29,12.875,17.25,58.5,29,11.5,18,61.6666666666667,31.8333333333333,13.1666666666667,16.6666666666667,61.75,27.125,16.625,18,64.25,28.25,18.5,17.5,64.5,29.6666666666667,16.3333333333333,18.5,1,0,26,0,1.125,1,1.875,56.125,0.490486257928118,0.439271255060729
